<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.07.25	16:00:00	108710	108796	108447	108705	354176	1258595	1
2022.07.25	17:00:00	108700	108909	108570	108775	132671	473041	1
2022.07.26	09:00:00	108640	109049	108522	109033	454528	1322243	1
2022.07.26	10:00:00	109039	109162	108721	108926	832150	2595277	1
2022.07.26	11:00:00	108926	108936	108312	108576	679686	2347425	1
2022.07.26	12:00:00	108570	108608	107699	107806	490667	1786927	1
2022.07.26	13:00:00	107812	108027	107720	107936	322509	1159209	1
2022.07.26	14:00:00	107936	108113	107828	107839	332186	1209523	1
2022.07.26	15:00:00	107839	108086	107629	107812	372363	1403340	1
2022.07.26	16:00:00	107806	108108	107785	108038	316342	1239005	1
2022.07.26	17:00:00	108032	108291	108011	108151	172616	604417	1
2022.07.27	09:00:00	108716	108721	108425	108619	328803	885277	1
2022.07.27	10:00:00	108614	108953	108425	108447	789273	2461375	1
2022.07.27	11:00:00	108441	108845	108275	108710	649425	2050184	1
2022.07.27	12:00:00	108710	109001	108705	108883	322634	1036642	1
2022.07.27	13:00:00	108883	109060	108861	108893	242308	820422	1
2022.07.27	14:00:00	108893	108990	108710	108770	251630	832747	1
2022.07.27	15:00:00	108775	109722	108414	109598	885876	2656125	1
2022.07.27	16:00:00	109604	109975	109491	109926	385129	1349960	1
2022.07.27	17:00:00	109926	110357	109819	110357	167153	611214	1
2022.07.28	09:00:00	110029	110088	109485	109889	572015	1597037	1
2022.07.28	10:00:00	109894	110647	109598	109749	922045	2839694	1
2022.07.28	11:00:00	109749	109916	109378	109722	712945	2169175	1
2022.07.28	12:00:00	109722	110233	109711	110012	412615	1351347	1
2022.07.28	13:00:00	110007	110395	109959	110346	288839	993232	1
2022.07.28	14:00:00	110341	111051	110120	110841	415511	1592181	1
2022.07.28	15:00:00	110846	111078	110734	111040	300912	1071760	1
2022.07.28	16:00:00	111040	111255	111003	111105	309084	1151993	1
2022.07.28	17:00:00	111099	111487	111040	111379	179280	637735	1
2022.07.29	09:00:00	111691	111740	111266	111562	600149	1602207	1
2022.07.29	10:00:00	111562	111654	111056	111110	934495	2678167	1
2022.07.29	11:00:00	111105	111643	111019	111535	672916	2072657	1
2022.07.29	12:00:00	111535	111863	111368	111616	462737	1518372	1
2022.07.29	13:00:00	111611	112009	111519	111912	359126	1185861	1
2022.07.29	14:00:00	111912	112213	111804	112181	298560	1022278	1
2022.07.29	15:00:00	112176	112622	112057	112563	357245	1335703	1
2022.07.29	16:00:00	112558	112601	111562	111729	414817	1542579	1
2022.07.29	17:00:00	111724	111837	111363	111444	238228	741322	1
2022.08.01	09:00:00	111729	111761	111325	111331	463490	1333457	1
2022.08.01	10:00:00	111336	111368	110508	111078	925826	2850131	1
2022.08.01	11:00:00	111078	111810	110642	111654	869937	2743903	1
2022.08.01	12:00:00	111654	111713	111116	111180	417250	1258832	1
2022.08.01	13:00:00	111175	111411	110820	110852	398763	1256256	1
2022.08.01	14:00:00	110846	110873	110045	110271	579642	1844305	1
2022.08.01	15:00:00	110271	110863	110174	110771	421708	1444238	1
2022.08.01	16:00:00	110777	110830	110341	110416	349986	1215676	1
2022.08.01	17:00:00	110416	110690	110384	110653	156949	555014	1
2022.08.02	09:00:00	110034	110335	109867	110330	557511	1557220	1
2022.08.02	10:00:00	110330	111083	110136	110481	1239058	3580029	1
2022.08.02	11:00:00	110481	111659	109943	111487	1162772	3675329	1
2022.08.02	12:00:00	111487	111810	111175	111519	538882	1667172	1
2022.08.02	13:00:00	111519	111993	111498	111842	368884	1196128	1
2022.08.02	14:00:00	111842	112084	111207	111530	555815	1910680	1
